,Team,Elo
67,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Chesnaught_Fast Taunt, Exploud_Choice Specs, Mesprit_Choice Specs, Dusknoir_Choice Band",962.4136793393319
68,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Omanyte_Entry Hazard Setter, Wooper_Water Absorb, Cresselia_Support, Mesprit_Offensive + 3 Attacks",804.6276949124514
69,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Hariyama_Assault Vest, Liepard_Choice Band, Omastar_Defensive Entry Hazards, Mew_Defog",1062.5771505454543
70,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Snivy_Wallbreaker, Porygon-Z_Choice Scarf, Slowking_Choice Specs, Garchomp_Choice Scarf",994.6209162871961
71,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Vanilluxe_All-out Attacker, Mesprit_Physically Defensive, Meloetta_En Pointe, Noctowl_Defensive Defog",850.3524717472544
72,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Corphish_Wallbreaker, Bellossom_Sun ""Sweeper"", Toxicroak_Swords Dance, Zygarde_Dragon Dance",857.5677590323953
73,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Latios_Choice Specs, Porygon-Z_Choice Specs, Raikou_Calm Mind, Lapras_Choice Specs",1173.4987401103447
74,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Swellow_Guts Attacker, Staraptor_Choice Scarf, Blastoise_Bulky Spinner, Simisear_Nasty Plot",979.2863764373033
75,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Nidoqueen_Offensive Entry Hazard Setter, Kingdra_Rain Sweeper, Diancie_Offensive Stealth Rock, Hitmonlee_Endure + Reversal",1062.7500239989129
76,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Swampert-Mega_Rain Sweeper, Kyurem-Black_Substitute Attacker, Hitmonlee_Wallbreaker, Latios_Choice Scarf",1189.228829871069
77,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Druddigon_Stealth Rock Setter, Camerupt-Mega_Wallbreaker, Mesprit_Substitute + Calm Mind, Garchomp_Offensive Stealth Rock",1226.4391473267672
78,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Moltres_Life Orb Attacker, Arcanine_Offensive, Floatzel_Special Attacker, Rotom-Frost_Choice Scarf",1035.3799276882107
79,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Conkeldurr_Choice Band, Regigigas_Tank, Meloetta_Offensive Calm Mind, Froakie_Mixed Attacker",1038.246982311108
80,"Hawlucha_Substitute + Swords Dance, Murkrow_Life Orb, Hydreigon_Stallbreaker, Dratini_Mixed Attacker, Starmie_Offensive, Noivern_Taunt + Roost",983.0669001993637
